feature	metadata	value	coef	stderr	N	N.not.0	pval	qval	log2FC	Trend	MicrobeClass
HF47__14413	Group	MI	-2.1799477400712	0.499826052164512	85	33	3.68768680325658e-05	0.024211677507441	-2.1799477400712	Down	virus
CON35__22276	Group	MI	-2.32057407642885	0.541848807459957	85	28	4.93341883528366e-05	0.027716563693978	-2.32057407642885	Down	virus
HF7__56858	Group	MI	-2.27640100099945	0.531408963628042	85	24	4.91509131741307e-05	0.027716563693978	-2.27640100099945	Down	virus
CON26__7583	Group	MI	-2.91425942331255	0.691332452017296	85	55	6.31185766852926e-05	0.0343862355044906	-2.91425942331255	Down	virus
HF7__1727	Group	MI	-2.54990752027336	0.60745369457013	85	22	6.7327923696442e-05	0.0356006297710186	-2.54990752027336	Down	virus
HF22__9251	Group	MI	-3.16616754233375	0.757712541483543	85	58	7.21692278468023e-05	0.0370702393779946	-3.16616754233375	Down	virus
CON34__10987	Group	MI	-2.14672896032339	0.518634217294554	85	20	8.32263949339994e-05	0.0415623368923178	-2.14672896032339	Down	virus
HF40__16847	Group	MI	-2.7427867339816	0.667842946324463	85	45	9.34803222240505e-05	0.0454213306201076	-2.7427867339816	Down	virus
CON34__8025	Group	MI	-1.97116903384779	0.482624179555166	85	31	0.000101397346722491	0.0479716184046564	-1.97116903384779	Down	virus
k__Bacteria.p__Proteobacteria.c__Betaproteobacteria.o__Burkholderiales.f__Oxalobacteraceae.g__Herbaspirillum	Group	MI	3.13121453308038	0.377560584984108	85	25	1.69249596786329e-12	2.73338098809921e-10	3.13121453308038	Up	bacteria
k__Bacteria.p__Proteobacteria.c__Betaproteobacteria.o__Burkholderiales.f__Oxalobacteraceae.g__Herbaspirillum.s__Herbaspirillum_sp	Group	MI	3.13121453308038	0.377560584984108	85	25	1.69249596786329e-12	2.73338098809921e-10	3.13121453308038	Up	bacteria
k__Bacteria.p__Proteobacteria.c__Betaproteobacteria.o__Burkholderiales.f__Oxalobacteraceae	Group	MI	3.3784102392188	0.60185688423884	85	30	2.56200926674688e-07	2.75842997719747e-05	3.3784102392188	Up	bacteria
k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Leuconostocaceae	Group	MI	-4.16806835534296	0.827230636965706	85	39	2.69800642055934e-06	0.000217864018460167	-4.16806835534296	Down	bacteria
k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Leuconostocaceae.g__Weissella	Group	MI	-3.93452897211833	0.833188232891438	85	33	9.37240646207662e-06	0.000605457457450149	-3.93452897211833	Down	bacteria
k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Leuconostocaceae.g__Weissella.s__Weissella_confusa	Group	MI	-2.29865024990378	0.596732389382556	85	23	0.000229746727712169	0.0123680321751718	-2.29865024990378	Down	bacteria
k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Leuconostocaceae.g__Weissella.s__Weissella_cibaria	Group	MI	-2.76673486696869	0.740178747514092	85	22	0.000339864430512519	0.0156823158650777	-2.76673486696869	Down	bacteria
k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Streptococcaceae.g__Streptococcus.s__Streptococcus_infantarius	Group	MI	-2.6038266803775	0.723135713239128	85	20	0.000538988871588403	0.0217616756903818	-2.6038266803775	Down	bacteria
